Brand Name,Fragrance Name,Family,Main Accords,Key Characteristics / Comparisons,Notes Breakdown - Top,Notes Breakdown - Middle,Notes Breakdown - Base,Sillage Performance,Longevity Performance,Wearability Gender,Wearability Best Seasons,Wearability Time of Day,Fragrantica Page,Concentration,Bottle volume (ml),Opened,Batch number,Production date,Expiration date,Barcode,Extra information,Perfumer,Launch year,Ingredients,Thumbnail image,Extra bottle,"Personal rating
(1 worst to 10 best)",Woman likes
Replay,#Tank Custom For Him,Woody Aromatic,"Aromatic, Warm Spicy, Woody, Citrus, Sweet, Anis, Fresh Spicy, Lavender, Earthy, Musky","Safe, enjoyable, and affordable woody aromatic fragrance with notes of ginger, plum, and yuzu, often compared favorably to the opening of Paco Rabanne's Pure XS; it is considered versatile but best suited for colder days like fall and winter, though some suggest it works year-round or in spring. Opens with ginger, dries to fresh-spicy plum/yuzu. ""Not a cheap smell."" Compared also to Bvlgari Man Extreme, 1 Million Royal Rabanne","Elemi, Ginger, Bergamot, Cardamom, Yuzu","Anise, Vetiver, Lavender, Plum, Patchouli, Wild Jasmine","Amber, Musk, Sandalwood, Tonka Bean","Intimate, Moderate","Moderate, Weak","Male, More male","Spring, Fall, Summer","Day, Night",https://www.fragrantica.com/perfume/Replay/Tank-Custom-For-Him-54318.html,EDT,100,07/2025,2407187A,07/2024,UNDEFINED,8011889500149,Tester,Unknown,2019,"ALCOHOL DENAT., PARFUM, AQUA, PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE, CINNAMAL, CITRAL, CITRONELLOL, COUMARIN, D-LIMONENE, GERANIOL, LINALOOL",https://fimgs.net/mdimg/perfume-thumbs/375x500.54318.avif,,,
Revlon,Charlie Blue,Floral Chypre,"mossy, rose, woody, fresh spicy, earthy, aromatic, musky, powdery, warm spicy, white floral","Classic, soapy, and intensely floral Aldehydic Chypre scent with dominant notes of oakmoss, geranium, rose, and musk, celebrated as an affordable, potent ""vintage glamour"" scent reminiscent of Estée Lauder White Linen or Chanel No. 19 in style, and its richness makes it versatile for year-round use, with many reviewers recommending it for Spring/Fall","Bergamot,  Citruses, Lemon, Peach","Leaves, Jasmine, Oakmoss, Geranium, Carnation, Cyclamen, Hyacinth, Lily Of The Valley, Rose","Cedarwood, Sandalwood, Tarragon, Vanilla, Musk","Strong, Moderate","Long lasting, Moderate","Unisex, More female","Fall, Winter, Spring","Day, Night",https://www.fragrantica.com/perfume/Revlon/Charlie-Blue-3142.html,EDT,100,11/2025,UNKNOWN,UNKNOWN,UNKNOWN,5000386004628,"Made in Spain
Ref 7212686000
Formula M80912",Francis Camail,1973,"ALCOHOL DENAT, AQUA (WATER, EAU), PARFUM (FRAGRANCE), BENZYL SALICYLATE, HYDROXYCITRONELLAL, HEXYL CINNAMAL, ALPHA-ISOMETHYL IONONE, LINALOOL, LIMONENE, EUGENOL, CITRONELLOL, GERANIOL, COUMARIN, AMYL CINNAMAL, CINNAMYL ALCOHOL, CITRAL, ISOEUGENOL, BENZYL BENZOATE, BENZYL ALCOHOL, ETHYLHEXYL METHOXYCINNAMATE, DIETHYLAMINO HYDROXYBENZOYL HEXYL BENZOATE, CI 15985 (YELLOW 6), CI 14700 (RED 4), CI 19140 (YELLOW 5)",https://fimgs.net/mdimg/perfume-thumbs/375x500.3142.avif,,,
Rochas,L'Homme Rochas,Oriental Fougere,"aromatic, fresh spicy, warm spicy, citrus, sweet, woody, fruity, vanilla, patchouli, earthy","Modern Oriental-Fougère fragrance that opens with a vibrant, fruity blend of blood orange and pineapple, moving to an aromatic heart of geranium and juniper, and settling on a warm base of tonka bean and patchouli; this versatile, charming, and mass-appealing scent is an excellent daily wear for spring, fall, and cooler summer days","Blood Orange, Pineapple and Cardamom","Juniper Berries, Geranium and Basil","Tonka Bean, Patchouli and Moss","Moderate, Strong","Moderate, Long lasting","Male, More male","Spring, Summer, Fall","Day, Night",https://www.fragrantica.com/perfume/Rochas/L-Homme-Rochas-59056.html,EDT,60,,03K04J296,10/2019,UNDEFINED,3386460098151,"Made in France
Ref. RC016A02",Bruno Jovanovic,2020,"ALCOHOL DENAT. (SD ALCOHOL 39-C), PARFUM (FRAGRANCE), AQUA (WATER), LIMONENE, ETHYLHEXYL METHOXYCINNAMATE, ETHYLHEXYL SALICYLATE, BUTYL METHOXYDIBENZOYLMETHANE, BHT, CITRAL, CITRONELLOL, COUMARIN, GERANIOL, LINALOOL, CI 60730 (EXT. VIOLET 2)",https://fimgs.net/mdimg/perfume-thumbs/375x500.59056.avif,,,
Rochas,Moustache Eau de Parfum,Oriental Woody,"vanilla, amber, woody, warm spicy, rose, soft spicy, citrus, patchouli, balsamic, sweet","Oriental woody fragrance with key notes of mandarin, pink pepper, rose, cedarwood, benzoin, vanilla, and patchouli, celebrated by the community as a luxurious, sophisticated, and excellent value alternative to the high-end YSL Tuxedo; it is best suited as a classy, date-night, or formal scent for cooler weather, specifically fall and winter. Excellent quality fragrance, niche quality at an affordable price, smooth and non-offensive vanilla notes","Pink Pepper, Mandarin Orange","Atlas Cedar, Bulgarian Rose","Benzoin, Vanilla, Patchouli","Moderate, Strong","Moderate, Long lasting","Male, More male","Winter, Spring, Fall","Day, Night",https://www.fragrantica.com/perfume/Rochas/Moustache-Eau-de-Parfum-52350.html,EDP,125,08/2025,04N38M273,09/2022,UNDEFINED,3386460102940,Tester,Natalie Gracia-Cetto,2018,ALCOHOL DENAT. (SD ALCOHOL 39-C) - PARFUM (FRAGRANCE) - AQUA(WATER) – ETHYLHEXYL METHOXYCINNAMATE – ETHYLHEXYL SALICYLATE – BUTYL METHOXYDIBENZOYLMETHANE – BHT- BENZYL BENZOATE – CITRAL – CITRONELLOL – LIMONENE – GERANIOL – LINALOOL – METHYL 2-OCTYNOATE - CI 14700 (RED 4) . CI 42090 (BLUE 1) - CI 19140(YELLOW 5),https://fimgs.net/mdimg/perfume-thumbs/375x500.52350.avif,,,
Rochas,Moustache Original 1949,Aromatic Fougere,"citrus, aromatic, lavender, fresh spicy, mossy, musky, powdery, earthy, woody, fresh","Classic, soapy citrus-aromatic. Community reviews praise its sophisticated, old-school feel with a prominent clean, bright lemon and soapy lavender accord, over a base of oakmoss. It's often compared to other ""gentlemanly"" classics like Chanel Pour Monsieur but is a more affordable alternative. Its elegant and fresh profile makes it a versatile fragrance for all-season wear, particularly suited for the office or formal events",Lemon and Bergamot,"Lavender, Neroli and Violet","Moss, White Musk and Patchouli","Moderate, Intimate","Moderate, Weak","Male, More male","Summer, Spring, Fall",Day,https://www.fragrantica.com/perfume/Rochas/Moustache-Original-1949-52351.html,EDT,75,,04i42i220,08/2018,UNDEFINED,3386460102971,2018 relaunch of the 1949 original,Edmond Roudnitska,1949,ALCOHOL DENAT. (SD ALCOHOL 39-C) – AQUA (WATER) – PARFUM (FRAGRANCE) – LIMONENE - ETHYLHEXYL METHOXYCINNAMATE – ETHYLHEXYL SALICYLATE – BUTYL METHOXYDIBENZOYLMETHANE – PPG-26-BUTETH-26 – PEG-40 HYDROGENATED CASTOR OIL - BHT- CITRAL – CITRONELLOL – COUMARIN – ALPHA-ISOMETHYL IONONE – GERANIOL – HEXYL CINNAMAL – HYDROXYCITRONELLAL – LINALOOL – EVERNIA PRUNASTRI (OAK MOSS) EXTRACT- CI 16035 (RED 40) - CI 42053 (GREEN 3) - CI 15985 (YELLOW 6),https://fimgs.net/mdimg/perfume-thumbs/375x500.52351.avif,,,
Rochas,Rochas Man Intense,Oriental Vanilla,"coffee, lavender, vanilla, woody, citrus, aromatic, powdery, sweet, fresh spicy, lactonic","Warm, delectable, and sensual Oriental Gourmand Eau de Parfum built around a signature creamy cappuccino accord, vanilla, and soft lavender, is generally praised as a smoother, darker, and better-performing version of the original Rochas Man and is often compared to a less spicy Givenchy Play Intense or the coffee/vanilla vibe of Stronger With You Intensely, making it ideal for cold weather (Fall/Winter) and romantic evening wear",Lavender and Citruses,Cappuccino and Cedar,Vanilla,"Moderate, Strong","Moderate, Long lasting","More male, Unisex","Fall, Winter, Spring","Night, Day",https://www.fragrantica.com/perfume/Rochas/Rochas-Man-Intense-79158.html,EDP,100,,24P08N363,12/2023,UNDEFINED,3386460136754,"Made in France
Ref RC028A01
78% VOL
Interparfums",Maurice Roucel,2023,"ALCOHOL DENAT. (SD ALCOHOL 40-B) - AQUA (WATER) - PARFUM (FRAGRANCE) - ETHYLHEXYL METHOXYCINNAMATE – LINALOOL – COUMARIN - ETHYLHEXYL SALICYLATE – BUTYL METHOXYDIBENZOYLMETHANE – LIMONENE – BENZYL ALCOHOL – CITRAL - CI 17200 (RED 33) – CI 14700 (RED 4) - CI 60730 (EXT. VIOLET 2) – CI 42090 (BLUE 1)
",https://fimgs.net/mdimg/perfume-thumbs/375x500.79158.avif,,,
Royal Copenhagen,Royal Copenhagen Musk,White Floral / Musky,"White Floral, Fresh Spicy, Musky, Aromatic, Lavender, Herbal, Powdery, Fresh, Green, Warm Spicy","Affordable, classic barbershop fragrance launched in 1974, characterized by a clean, powdery, musky-fougere scent with dominant notes of musk, sage, basil, and florals; it is often praised as a timeless, masculine, and comforting scent with great value, and is versatile but generally recommended for cooler weather like fall and winter, or year-round for close-quarters daily wear due to its softer projection. ""Old-school soapy barbershop."" Clean, fresh, soapy. ""Total floral bomb"" with lavender. Compared to Jovan Musk for Men, Tabac Original. Underrated ""gem""","Lavender, Sage, Basil","Jasmine, Lily-of-the-Valley, Neroli","Musk, Oakmoss, Nutmeg, Amber, Cloves, Patchouli","Moderate, Strong","Moderate, Weak","Male, More male","Winter, Spring, Summer, Fall",Day,https://www.fragrantica.com/perfume/Royal-Copenhagen/Royal-Copenhagen-Musk-5385.html,EDT,100,07/2025,22245,09/2022,UNDEFINED,603531130224,,Catherine Selig,1974,"SD ALCOHOL 40, WATER, FRAGRANCE, BENZOPHENONE-2, EXT.D&C VIOLET NO.2, FD&C BLUE NO.1
",https://fimgs.net/mdimg/perfume-thumbs/375x500.5385.avif,,,
Rue Broca,Nexa Immortal,Oriental Woody,"Citrus, Woody, Fruity, Fresh, Powdery, Green, Musky, White Floral, Fresh Spicy, Amber","Affordable, fresh, fruity, and slightly woody scent with notes of apple, mandarin, bergamot, and oakmoss, serving as a budget-friendly clone of Parfums de Marly Greenley; it is considered an ideal, vibrant, and uplifting scent for spring and summer due to its fresh, light, and citrusy profile, though some find its projection and longevity to be weak. ""Bomb of citrus and sweetness,"" ""freshest juicy green apple."" Mix-clone of Greenley Parfums de Marly, Light Blue Eau Intense Dolce&Gabbana","Apple, Mandarin Orange, Calabrian Bergamot","Cedar, Cashmeran, Jasmine, Lily-of-the-Valley, Violet","Musk, Amberwood, Oakmoss, Moss","Moderate, Strong","Moderate, Long lasting","Unisex, Male",Summer,"Day, Night",https://www.fragrantica.com/perfume/Rue-Broca/Nexa-Immortal-91526.html,EDP,100,07/2025,NIL/2110/15450,08/2024,08/2029,6290171074007,,Imran Fazlani,2024,Alcohol Denat. Fragrance (Parfum) Water (Aqua) Citral Limonene Linalool Geraniol Coumarin Hexyl Cinnamal Alpha-Isomethyl Ionone,https://fimgs.net/mdimg/perfume-thumbs/375x500.91526.avif,,,
Salvador Dali,Le Roy Soleil Extreme for Men,Aromatic Fougere,"Aromatic, Citrus, Earthy, Mossy, Fruity, Woody, Warm Spicy, Lavender, Sweet, Fresh","Affordable Aromatic Fougere scent with prominent notes of lemon, pineapple leaf, cardamom, lavender, and Haitian vetiver, which the community often views as a unique, masculine, and elegant ""hidden gem"" with a pleasant fruity, mossy, and slightly smoky dry-down; it is considered best for moderate weather like spring and fall for work or date nights, and it is not generally compared to other popular fragrances besides a very light, passing nod to Encre Noire. Inspired by Louis XIV. Luxurious, powerful. Compared also to Dior Dune Pour Homme, Versace Blue Jeans, Creed Aventus. Unique, classy","Lemon, Pineapple Leaf, Bergamot","Cardamom, Lavender, Green Apple","Moss, Haitian Vetiver, Amber, Musk","Moderate, Strong","Long lasting, Moderate",Male,Spring,Day,https://www.fragrantica.com/perfume/Salvador-Dali/Le-Roy-Soleil-Extreme-for-Men-16476.html,EDT,100,07/2025,17773XV,2017,UNDEFINED,3331439410304,,Mathilde Bijaoui,2012,UNKNOWN,https://fimgs.net/mdimg/perfume-thumbs/375x500.16476.avif,,,
Salvador Dali,Salvador Dali Pour Homme,Oriental Fougere,"aromatic, woody, earthy, soft spicy, fresh spicy, anis, mossy, patchouli, powdery, warm spicy","Dark, complex, and gothic fougère. Community reviews highlight its polarizing, ""challenging"" profile with a prominent blend of incense, moss, lavender, and a unique, sharp animalic musk. It's often compared to other 80s ""powerhouses"" like YSL Kouros and Oscar de la Renta Pour Lui, but with a darker, more artistic edge. Its strong, dense profile makes it strictly best for cold weather and evening wear","Anise, Clary Sage, Lavender, Tarragon, Basil, Bergamot, Tangerine and Lemon","Geranium, Jasmine, Heliotrope and Lily-of-the-Valley","Oakmoss, Patchouli, Sandalwood, Vetiver, Amber, Cedar and Vanilla","Strong, Moderate","Long lasting, Moderate","Male, More male","Fall, Winter","Night, Day",https://www.fragrantica.com/perfume/Salvador-Dali/Salvador-Dali-Pour-Homme-2250.html,EDT,100,10/2025,U250681A,UNKNOWN,UNKNOWN,3760040114613,"Made in France, Assembled in the UAE version from Création Beauté International",Thierry Wasser,1987,"ALCOHOL DENAT. (SD ALCOHOL 39-C), PARFUM (FRAGRANCE), AQUA (WATER/EAU), HEXYL CINNAMAL, LIMONENE, CITRONELLOL, COUMARIN, LINALOOL, BENZYL BENZOATE, GERANIOL, CITRAL, EUGENOL, BENZYL SALICYLATE, HYDROXYCITRONELLAL, 80%VOL",https://fimgs.net/mdimg/perfume-thumbs/375x500.2250.avif,,,
Salvatore Ferragamo,Salvatore Ferragamo Pour Homme,Woody Green,"woody, green, aromatic, fresh, warm spicy, fresh spicy, floral, powdery, citrus, earthy","Unique, elegant Woody Green scent famous for its fig leaf opening blended with florals and citrus, which leads to a warm, woody-leathery base of cedar, vetiver, and oakmoss; its understated, slightly mature character makes it an excellent, versatile choice for all-year-round office or sophisticated casual wear","Fig Leaf, Grapefruit, Caraway, Brazilian Rosewood, African Geranium, Cyclamen and Neroli","Carnation, Cardamom, Rose, Jasmine and Orris Root","Cedar, Vetiver, Sandalwood, Leather, Musk and Oakmoss","Moderate, Strong","Moderate, Long lasting","Male, More male","Spring, Summer, Fall",Day,https://www.fragrantica.com/perfume/Salvatore-Ferragamo/Salvatore-Ferragamo-Pour-Homme-659.html,EDT,100,,2405001,02/2024,UNDEFINED,646875431527,"Made in Italy
Ref. 43152", Jean-Pierre Mary,1999,"Alcohol Denat. (Sd Alcohol 39-C), Aqua (Water), Parfum (Fragrance), Linalool, Eugenol, Ethylhexyl Methoxycinnamate, Ethylhexyl Salicylate, Butyl Methoxydibenzoylmethane, Limonene",https://fimgs.net/mdimg/perfume-thumbs/375x500.659.avif,,,
Sean John,Unforgivable,Aromatic Fougere,"citrus, aromatic, woody, fresh spicy, sweet","Fresh, citrusy, and aromatic fragrance. Community reviews highlight a prominent, juicy grapefruit and rum opening with a clean, lavender dry-down. It is widely known and often compared to the much more expensive Creed Millésime Impérial, sharing a similar fresh and fruity vibe. Its bright and aquatic nature makes it an excellent choice for warmer days and casual, daytime wear","Tangerine, Green Mandarin, Grapefruit, Sicilian Lemon, Bergamot, Birch Leaf, Basil and Juniper","Lavender, Clary Sage and Iris","Rum, Cashmere Wood, Australian Sandalwood, Tonka Bean and Amber","Moderate, Intimate","Moderate, Weak","Male, More male","Summer, Spring, Fall","Day, Night",https://www.fragrantica.com/perfume/Sean-John/Unforgivable-2209.html,EDT,75,10/2025,W23266,09/2023,UNDEFINED,855560005022,,"David Apel, Pierre Negrin, Aurélien Guichard and Caroline Sabas",2006,"ALCOHOL DENAT., FRAGRANCE (PARFUM), WATER (AQUA), LIMONENE, LINALOOL, ALPHA-ISOMETHYL IONONE, CITRAL, FARNESOL, GERANIOL, COUMARIN, EUGENOL, CITRONELLOL",https://fimgs.net/mdimg/perfume-thumbs/375x500.2209.avif,,,
Sergio Tacchini,Sergio Tacchini Eau,Aromatic Fougere,"woody, citrus, amber, powdery, fresh spicy, aromatic, balsamic, warm spicy","Fresh, aromatic fougere fragrance. It opens with vibrant citrus notes like bergamot and lime, complemented by herbal accents of rosemary and lavender. The scent settles into a classic, masculine base of sandalwood, vetiver, and patchouli, giving it a soapy, clean, and bracing feel. It's a great, easy-to-wear scent, especially for daytime and warmer seasons (spring/summer)","Lime, Bergamot","Rosemary, Lavender, Styrax","Sandalwood, Vetiver, Patchouli, Cedar",Moderate,Moderate,"Male, More male","Spring, Fall, Summer",Day,https://www.fragrantica.com/perfume/Sergio-Tacchini/Sergio-Tacchini-43077.html,Aftershave,100,,60251301,01/2023,UNDEFINED,81087603185,"Made in Italy
Ref 185
Cod 809715","Max Gavarry, Jan Van Elst",1987,"ALCOHOL DENAT., AQUA (WATER), GLYCERIN, PARFUM (FRAGRANCE), BENZYL SALICYLATE, ETHYLEXYL METHOXYCINNAMATE, BUTYL METHOXYDIBENZOYMETHANE, BHT, LINALOOL, COUMARIN, CITRONELLOL, ALPHA-ISOMETHYL IONONE, EUGENOL,GERANIOL. 70% V/V",https://fimgs.net/mdimg/perfume-thumbs/375x500.43077.avif,,,
Shulton Company,Old Spice Original,Oriental Spicy AFTERSHAVE,"Warm Spicy, Floral, Fresh Spicy, Vanilla, Cinnamon, Powdery, Amber, Citrus, Aromatic, Anis","Oriental Spicy classic from 1938, characterized by a timeless, warm, clean, and powdery barbershop scent with prominent notes of citrus, cinnamon, carnation, and vanilla; while unique and iconic, its DNA is a foundation for many other spicy, masculine drugstore scents, and it is considered a versatile, year-round fragrance that performs particularly well in the cooler weather of fall and winter due to its spicy warmth. Timeless, classic, nostalgic. Represents traditional barbershop. Some find it dated. Compared to Viking Creed (70% similar, ""Viking clone""). Modern reformulation weaker","Nutmeg, Star Anise, Aldehydes, Orange, Lemon","Cinnamon, Carnation, Pimento, Geranium, Heliotrope, Jasmine","Benzoin, Musk, Vanilla, Tonka Bean, Cedar, Ambergris","Moderate, Intimate","Moderate, Weak","Male, More male","Winter, Spring, Fall",Day,https://www.fragrantica.com/perfume/Shulton-Company/Old-Spice-Original-14746.html,Aftershave,150,06/2025,1042846823,02/2021,UNDEFINED,12044010716,,Albert Hauck,1938,"Alcohol Denat, Aqua, Propylene, Parfum, Benzyl Alcohol, Limonene, Linalool, Eugenol, Geraniol, Citronellol, Alpha-Isomethylionon, Cinnamyl Alcohol, Citral, Benzylbenzoat",https://fimgs.net/mdimg/perfume-thumbs/375x500.14746.avif,,,
Swiss Arabian,Rakaan,Oriental Woody / Citrus ,"citrus, oud, floral, woody, fresh spicy, powdery, aquatic","Strong, intense, and unique Fruity Amber Oud fragrance, featuring sharp opening notes of grapefruit and Caribbean lime that transition into a warm, deep base of traditional Oud, Cedarwood, Sandalwood, and Amber, with some finding the bright citrus opening too abrasive or reminiscent of cleaning product; it is generally recommended as a masculine, bold, and long-lasting scent best suited for cooler weather like fall and winter. Opens with fresh notes, heart of lotus, base of oud and amber. Reminds of Wild Aoud Montale, Oud 01 Swiss Arabian.","Lime, Grapefruit",Lotus,"Agarwood (Oud), Sandalwood, Musk","Strong, Enormous","Long lasting, Eternal","Male, Unisex","Winter, Fall",Night,https://www.fragrantica.com/perfume/Swiss-Arabian/Rakaan-11300.html,EDP,50,07/2025,SM06715D,10/2018,10/2023,6295124003929,,Unknown,2013,"ALCOHOL DENAT,PARFUM(FRAGRANCE),AQUA(DM WATER),CITRONELLOL,GERANIOL,LINALOOL,COUMARIN,LIMONENE",https://fimgs.net/mdimg/perfume-thumbs/375x500.11300.avif,,,
Swiss Arabian,Shaghaf Oud Abyad,Woody Spicy,"amber, smoky, fresh spicy, warm spicy, woody, balsamic, aromatic, oud, sweet","Considered a strong alternative to Amouage Interlude Man and Midnight Oud from Ard Al Zaafaran due to its smoky, dark, and resinous character. Best suited for cold weather and evening wear.","Oregano, Pimento Seeds and Bergamot","Myrrh, Opoponax, Olibanum, Amber and Citruses","Smoke, Agarwood (Oud), Leather, Sandalwood and Patchouli","Moderate, Strong","Long lasting, Eternal","More male, Male","Winter, Fall",Night,https://www.fragrantica.com/perfume/Swiss-Arabian/Shaghaf-Oud-Abyad-54282.html,EDP,75,08/2025,SM080373D,10/2020,10/2025,4984651318,Tester,Unknown,2018,"Alcohol, Bht, Parfum, Ethylhexyl Methoxycinnamate, Dipropylene Glycol, Propanediol, Water, Benzyl Alcohol, Benzyl Benzoate, Benzyl Salicylate, Citral, Citronellol, Coumarin, Eugenol, Geraniol, Linalool, Alpha-isomethyl Ionone, Limonene",https://fimgs.net/mdimg/perfume-thumbs/375x500.54282.avif,,,
Swiss Arabian,Shawq,Citrus,"Fruity, Sweet, Woody, Tropical, Musky, Amber, Leather, Fresh, Citrus, Smoky","Affordable, mass-appealing, fresh, fruity, and slightly sweet scent with dominant notes of juicy pineapple, blackcurrant, and bergamot over a base of birch, ambroxan, and musk, often directly compared to or considered a ""fruity batch"" clone of Creed Aventus and sharing similarities with Lattafa Qaed Al Fursan and Armaf Club de Nuit Intense Man; it is explicitly marketed and community-recommended as an ideal, vibrant scent for warm weather like spring and summer due to its invigorating and tropical character. Intense, inspired by desire. Invigorating lime, pineapple, blackcurrant. ""Pineapple bomb""","Pineapple, Black Currant, Bergamot","Birch, Lily-of-the-Valley","Ambroxan, Patchouli, Musk","Moderate, Strong","Long lasting, Moderate","Unisex, More male",Summer,Day,https://www.fragrantica.com/perfume/Swiss-Arabian/Shawq-54284.html,EDP,100,07/2025,SM107745D,05/2023,05/2028,6295124033964,,Unknown,2018,"ALCOHOL DENAT, AQUA (DM WATER), PARFUM (FRAGRANCE), LIMONENE, LINALOOL, CITRAL, CITRONELLOL, GERANIOL",https://fimgs.net/mdimg/perfume-thumbs/375x500.54284.avif,,,
Tabac,Tabac Gentle Men's Care,Woody Spicy,"Woody, Citrus, Aquatic, Lavender, Sweet, Warm spicy, Ozonic, Amber, Fruity, Aromatic","Classy, modern, fresh, woody, and slightly spicy scent with prominent notes of orange, pear, lavender, and sandalwood, noted for being a well-blended, clean, and elegant composition that is inoffensive; it is sometimes compared to a weak, skin-scent version of Valentino Uomo Intense/Dior Homme Intense or having similarities to Burberry Brit Rhythm, and is considered a versatile, year-round fragrance that is particularly great for summer and warmer days but suitable for any business environment. Uplifting, good sandalwood dry down. Inoffensive, suitable for business","Orange, Pear","Lavender, Violet Leaf, Cardamom","Sandalwood, Ambergris, Cashmere Wood","Moderate, Intimate","Moderate, Weak","Male, More male","Spring, Summer, Fall","Day, Night",https://www.fragrantica.com/perfume/Tabac/Tabac-Gentle-Men-s-Care-31403.html,EDT,100,07/2025,5018,01/2018,UNDEFINED,4011700453061,Tester,Unknown,2015,"ALCOHOL, WATER (AQUA), FRAGRANCE (PARFUM), LIMONENE, LINALOOL, BENZYL SALICYLATE, BENZYL ALCOHOL, BUTYLPHENYL METHYLPROPIONAL, GERANIOL, HEXYL CINNAMAL, ALPHA-ISOMETHYL IONONE, ETHYLHEXYL METHOXYCINNAMATE, COUMARIN, CITRAL, BUTYL METHOXYDIBENZOYLMETHANE, CITRONELLOL, ETHYLHEXYL SALICYLATE, ISOEUGENOL, BHT, EXT. VIOLET 2 (CI 60730)",https://fimgs.net/mdimg/perfume-thumbs/375x500.31403.avif,,,
Tabac,Tabac Man Gravity,Oriental Woody,"patchouli, aldehydic, rose, aromatic, warm spicy, lavender, woody, fresh spicy, fresh, earthy","Aromatic, woody, and mineral fragrance for men. Key notes include aldehydes, lavender, grapefruit, oud, and patchouli, creating a ""stardust accord."" Compared to general Blue fragrance for its clean, fresh, and slightly peppery feel. While versatile, its freshness with underlying warmth makes it suitable for all seasons, including warmer days.","Aldehydes, Lavender, Rose, Grapefruit, Metallic notes and Musk","Agarwood (Oud), Geranium and Coriander","Patchouli, Tonka Bean and Musk","Intimate, Moderate","Weak, Moderate","More male, Male","Spring, Summer, Fall","Day, Night",https://www.fragrantica.com/perfume/Tabac/Tabac-Man-Gravity-65173.html,EDT,50,07/2025,1500,12/2020,UNDEFINED,4011700454129,Tester,Jacques Huclier,2021,"ALCOHOL,WATER (AQUA),FRAGRANCE (PARFUM),LINALOOL,LIMONENE,ETHYLHEXYL METHOXYCINNAMATE,BUTYL METHOXYDIBENZOYLMETHANE,CITRONELLOL,ETHYLHEXYL SALICYLATE,BENZYL ALCOHOL,COUMARIN,BENZYL SALICYLATE,CITRAL,ALPHA-ISOMETHYL IONONE,GERANIOL,ISOEUGENOL,BENZYL BENZOATE,BENZYL CINNAMATE,BHT",https://fimgs.net/mdimg/perfume-thumbs/375x500.65173.avif,,,
Tabac,Tabac Original,Woody Aromatic AFTERSHAVE,"Aromatic, Woody, Fresh spicy, Citrus, Floral, Warm spicy, Herbal, Powdery, Lavender, Musky","German perfumery turning point (1959) masculine, iconic, and polarizing classic barbershop scent with a complex, powdery profile featuring prominent notes of spicy pepper, citrus, florals (lavender/carnation), exotic woods, and a warm musk/tobacco/vanilla base, often praised for its longevity and frequently described as unmistakably ""old school"" or traditional; it is widely considered an elegant, sophisticated scent best suited for the cooler temperatures of fall and winter due to its warm, rich, and heavy character. Some find it old-fashioned. Comparisons: ""Old musty barber shop,"" ""Hotel soap,"" ""Old Spice,"" ""Baby powder,"" ""Aramis.""","Petitgrain, Bergamot, Pepper, Lemon, Neroli","Chamomile, Lavender, Geranium, Oak","Sandalwood, Carnation, Musk, Vetiver, Amber","Moderate, Intimate","Moderate, Weak","Male, More male","Winter, Fall","Day, Night",https://www.fragrantica.com/perfume/Tabac/Tabac-Original-28000.html,Aftershave,100,06/2025,2144,04/2024,UNDEFINED,4011700431144,,Arturo Jordi-Pey,1959,Alcohol Denat. Water (Aqua) Fragrance (Parfum) Glycerin Propylene Glycol Menthol Citric Acid Disodium EDTA Benzyl Salicylate Hexyl Cinnamal Limonene Linalool Coumarin Geraniol,https://fimgs.net/mdimg/perfume-thumbs/375x500.28000.avif,,,
Tabac,Tabac Original EDT,Woody Aromatic,"aromatic, woody, herbal, fresh spicy, floral, citrus, warm spicy, lavender, powdery, green","Classic, masculine ""barbershop"" scent praised by reviewers for its soapy, clean, powdery, and warm floral-spicy character with notes of aldehydes, lavender, carnation, and a warm, musky base, often compared to Old Spice and Brut due to its traditional style, and is generally considered best for Fall and Winter or everyday wear in cooler temperatures because of its warmth and depth","Petitgrain, Bergamot, Pepper, Neroli and Lemon","Chamomile, Lavender, Oak and Geranium","Sandalwood, Carnation, Vetiver, Musk and Ambergris","Moderate, Intimate","Moderate, Long lasting","Male, More male","Summer, Spring, Fall, Winter","Day, Night",https://www.fragrantica.com/perfume/Tabac/Tabac-Original-Eau-de-Toilette-104763.html,EDT,30,,,,,,,Arturo Jordi-Pey,1959,"Alcohol, Water (Aqua), Fragrance (Parfum), Limonene, PEG-40 Hydrogenated Castor Oil, Hydroxycitronellal, Linalool, Citronellol, Alpha-Isomethyl Ionone, Benzyl Salicylate, Coumarin, Citral, Isoeugenol, Geraniol, Benzyl Benzoate, Amyl Cinnamal, Eugenol, Yellow 5 (CI19140), Red 4 (CI 14700), Blue 1 (CI 42090)",https://fimgs.net/mdimg/perfume-thumbs/375x500.104763.avif,,,
